project id,name,url,category,subcategory,location,status,goal,pledged,funded percentage,backers,funded date,levels,reward levels,updates,comments,duration
39409,WHILE THE TREES SLEEP,http://www.kickstarter.com/projects/emiliesabath/while-the-trees-sleep,Film & Video,Short Film,"Columbia, MO",successful,10500,11545,1.09952381,66,"Fri, 19 Aug 2011 19:28:17 -0000",7,"$25,$50,$100,$250,$500,$1,000,$2,500",10,2,30
126581,Educational Online Trading Card Game,http://www.kickstarter.com/projects/972789543/education-enrichment-via-a-custom-online-super-her,Games,Board & Card Games,"Maplewood, NJ",failed,4000,20,0.005,2,"Mon, 02 Aug 2010 03:59:00 -0000",5,"$1,$5,$10,$25,$50",6,0,47.18
138119,STRUM,http://www.kickstarter.com/projects/185476022/strum-an-animated-short-film,Film & Video,Animation,"Los Angeles, CA",live,20000,56,0.0028,3,"Fri, 08 Jun 2012 00:00:31 -0000",10,"$1,$10,$25,$40,$50,$100,$250,$1,000,$1,337,$9,001",1,0,28
237090,GETTING OVER - One son's search to finally know his father.,http://www.kickstarter.com/projects/charnick/getting-over-one-sons-search-to-finally-know-his-f,Film & Video,Documentary,"Los Angeles, CA",successful,6000,6535,1.089166667,100,"Sun, 08 Apr 2012 02:14:00 -0000",13,"$1,$10,$25,$30,$50,$75,$85,$100,$110,$250,$500,$1,000,$5,000",4,0,32.22
246101,The Launch of FlyeGrlRoyalty &quot;The New Name In Fashion&quot;,http://www.kickstarter.com/projects/flyegrlroyalty/the-launch-of-flyegrlroyalty-the-new-name-in-fashi,Fashion,Fashion,"Novi, MI",failed,3500,0,0,0,"Wed, 01 Jun 2011 15:25:39 -0000",6,"$10,$25,$50,$100,$150,$250",2,0,30
316217,Dinner Party - a short film about friendship... and revenge,http://www.kickstarter.com/projects/249354515/dinner-party-a-short-film-about-friendship-and-rev,Film & Video,Short Film,"Portland, OR",successful,3500,3582,1.023331429,39,"Wed, 22 Jun 2011 13:33:00 -0000",7,"$5,$25,$50,$100,$250,$500,$1,000",8,0,21.43
325034,Mezzo,http://www.kickstarter.com/projects/geoffsayshi/mezzo,Film & Video,Short Film,"Collegedale, TN",failed,1000,280,0.28,8,"Sat, 18 Feb 2012 02:17:08 -0000",5,"$5,$10,$25,$50,$100",0,0,30
407836,Help APORTA continue to make handwoven/knit accessories,http://www.kickstarter.com/projects/1078097864/help-aporta-continue-to-make-handwoven-knit-access,Fashion,Fashion,"Chicago, IL",successful,2000,2180,1.09,46,"Fri, 30 Dec 2011 04:36:53 -0000",7,"$10,$20,$50,$100,$250,$500,$1,000",13,5,30
436325,Music - Comedy - Album!,http://www.kickstarter.com/projects/mattgriffo/music-comedy-album,Music,Music,"Chicago, IL",successful,1000,1125,1.125,30,"Sun, 18 Apr 2010 04:59:00 -0000",12,"$5,$8,$10,$15,$20,$30,$50,$100,$120,$250,$500,$1,000",10,1,67.53
610918,The Apocalypse Calendar,http://www.kickstarter.com/projects/tqvinn/the-apocalypse-calendar,Art,Illustration,"Chicago, IL",successful,7500,9836,1.311526667,255,"Tue, 01 Nov 2011 04:59:00 -0000",10,"$1,$20,$35,$50,$60,$100,$110,$500,$1,000,$1,500",6,5,35.29
710161,It's You Again - A new comedy show (and short film)!,http://www.kickstarter.com/projects/657780861/its-you-again-a-new-comedy-show-and-short-film,Film & Video,Film &amp; Video,"Nashville, TN",live,8000,0,0,0,"Sun, 01 Jul 2012 04:11:00 -0000",8,"$5,$10,$25,$50,$100,$200,$500,$1,000",0,0,38.2
727286,Offline Wikipedia iPhone app,http://www.kickstarter.com/projects/dphiffer/offline-wikipedia-iphone-app,Technology,Open Software,,successful,99,145,1.464646465,25,"Tue, 14 Jul 2009 06:59:59 -0000",1,$1,5,19,79.64
735377,The Janks music video series,http://www.kickstarter.com/projects/thejanks/the-janks-music-video-series,Music,Indie Rock,"Ashland, OR",successful,20000,20138,1.0069105,115,"Fri, 10 Dec 2010 20:00:07 -0000",21,"$3,$10,$15,$20,$25,$50,$75,$100,$150,$200,$250,$300,$500,$750,$1,000,$1,000,$1,500,$2,000,$2,500,$5,000,$10,000",8,12,45.04
868003,Adam Barruch Dance: 2011 New York Performances,http://www.kickstarter.com/projects/368421317/adam-barruch-dance-2011-new-york-performances,Dance,Dance,"New York, NY",failed,1500,75,0.05,5,"Sun, 05 Dec 2010 02:09:39 -0000",4,"$10,$50,$100,$500",0,0,40.04
